"","TEAM_NAME","TEAM_ID","GAME_ID","GAME_DATE","MATCHUP","game_number","version","OPP_NAME","matchup_start","round","matchup_full","TEAM_COLOR","OPP_COLOR","season"
"1","Atlanta Hawks","1610612737","0042200111","2023-04-15","ATL vs. BOS","Game 1","Thu Apr 24 23:18:43","Boston Celtics","2023-04-15",1,"Round 1: ATL vs. BOS, Game 1","#E03A3E","#007A33","2022-23"
"2","Atlanta Hawks","1610612737","0042200112","2023-04-18","ATL vs. BOS","Game 2","Thu Apr 24 23:18:43","Boston Celtics","2023-04-15",1,"Round 1: ATL vs. BOS, Game 2","#E03A3E","#007A33","2022-23"
"3","Atlanta Hawks","1610612737","0042200113","2023-04-21","ATL vs. BOS","Game 3","Thu Apr 24 23:18:43","Boston Celtics","2023-04-15",1,"Round 1: ATL vs. BOS, Game 3","#E03A3E","#007A33","2022-23"
"4","Atlanta Hawks","1610612737","0042200114","2023-04-23","ATL vs. BOS","Game 4","Thu Apr 24 23:18:43","Boston Celtics","2023-04-15",1,"Round 1: ATL vs. BOS, Game 4","#E03A3E","#007A33","2022-23"
"5","Atlanta Hawks","1610612737","0042200115","2023-04-25","ATL vs. BOS","Game 5","Thu Apr 24 23:18:43","Boston Celtics","2023-04-15",1,"Round 1: ATL vs. BOS, Game 5","#E03A3E","#007A33","2022-23"
"6","Atlanta Hawks","1610612737","0042200116","2023-04-27","ATL vs. BOS","Game 6","Thu Apr 24 23:18:43","Boston Celtics","2023-04-15",1,"Round 1: ATL vs. BOS, Game 6","#E03A3E","#007A33","2022-23"
"7","Boston Celtics","1610612738","0042200111","2023-04-15","BOS vs. ATL","Game 1","Thu Apr 24 23:18:43","Atlanta Hawks","2023-04-15",1,"Round 1: BOS vs. ATL, Game 1","#007A33","#E03A3E","2022-23"
"8","Boston Celtics","1610612738","0042200112","2023-04-18","BOS vs. ATL","Game 2","Thu Apr 24 23:18:43","Atlanta Hawks","2023-04-15",1,"Round 1: BOS vs. ATL, Game 2","#007A33","#E03A3E","2022-23"
"9","Boston Celtics","1610612738","0042200113","2023-04-21","BOS vs. ATL","Game 3","Thu Apr 24 23:18:43","Atlanta Hawks","2023-04-15",1,"Round 1: BOS vs. ATL, Game 3","#007A33","#E03A3E","2022-23"
"10","Boston Celtics","1610612738","0042200114","2023-04-23","BOS vs. ATL","Game 4","Thu Apr 24 23:18:43","Atlanta Hawks","2023-04-15",1,"Round 1: BOS vs. ATL, Game 4","#007A33","#E03A3E","2022-23"
"11","Boston Celtics","1610612738","0042200115","2023-04-25","BOS vs. ATL","Game 5","Thu Apr 24 23:18:43","Atlanta Hawks","2023-04-15",1,"Round 1: BOS vs. ATL, Game 5","#007A33","#E03A3E","2022-23"
"12","Boston Celtics","1610612738","0042200116","2023-04-27","BOS vs. ATL","Game 6","Thu Apr 24 23:18:43","Atlanta Hawks","2023-04-15",1,"Round 1: BOS vs. ATL, Game 6","#007A33","#E03A3E","2022-23"
"13","Boston Celtics","1610612738","0042200211","2023-05-01","BOS vs. PHI","Game 1","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-05-01",2,"Round 2: BOS vs. PHI, Game 1","#007A33","#006BB6","2022-23"
"14","Boston Celtics","1610612738","0042200212","2023-05-03","BOS vs. PHI","Game 2","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-05-01",2,"Round 2: BOS vs. PHI, Game 2","#007A33","#006BB6","2022-23"
"15","Boston Celtics","1610612738","0042200213","2023-05-05","BOS vs. PHI","Game 3","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-05-01",2,"Round 2: BOS vs. PHI, Game 3","#007A33","#006BB6","2022-23"
"16","Boston Celtics","1610612738","0042200214","2023-05-07","BOS vs. PHI","Game 4","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-05-01",2,"Round 2: BOS vs. PHI, Game 4","#007A33","#006BB6","2022-23"
"17","Boston Celtics","1610612738","0042200215","2023-05-09","BOS vs. PHI","Game 5","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-05-01",2,"Round 2: BOS vs. PHI, Game 5","#007A33","#006BB6","2022-23"
"18","Boston Celtics","1610612738","0042200216","2023-05-11","BOS vs. PHI","Game 6","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-05-01",2,"Round 2: BOS vs. PHI, Game 6","#007A33","#006BB6","2022-23"
"19","Boston Celtics","1610612738","0042200217","2023-05-14","BOS vs. PHI","Game 7","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-05-01",2,"Round 2: BOS vs. PHI, Game 7","#007A33","#006BB6","2022-23"
"20","Boston Celtics","1610612738","0042200301","2023-05-17","BOS vs. MIA","Game 1","Thu Apr 24 23:18:43","Miami Heat","2023-05-17",3,"Round 3: BOS vs. MIA, Game 1","#007A33","#98002E","2022-23"
"21","Boston Celtics","1610612738","0042200302","2023-05-19","BOS vs. MIA","Game 2","Thu Apr 24 23:18:43","Miami Heat","2023-05-17",3,"Round 3: BOS vs. MIA, Game 2","#007A33","#98002E","2022-23"
"22","Boston Celtics","1610612738","0042200303","2023-05-21","BOS vs. MIA","Game 3","Thu Apr 24 23:18:43","Miami Heat","2023-05-17",3,"Round 3: BOS vs. MIA, Game 3","#007A33","#98002E","2022-23"
"23","Boston Celtics","1610612738","0042200304","2023-05-23","BOS vs. MIA","Game 4","Thu Apr 24 23:18:43","Miami Heat","2023-05-17",3,"Round 3: BOS vs. MIA, Game 4","#007A33","#98002E","2022-23"
"24","Boston Celtics","1610612738","0042200305","2023-05-25","BOS vs. MIA","Game 5","Thu Apr 24 23:18:43","Miami Heat","2023-05-17",3,"Round 3: BOS vs. MIA, Game 5","#007A33","#98002E","2022-23"
"25","Boston Celtics","1610612738","0042200306","2023-05-27","BOS vs. MIA","Game 6","Thu Apr 24 23:18:43","Miami Heat","2023-05-17",3,"Round 3: BOS vs. MIA, Game 6","#007A33","#98002E","2022-23"
"26","Boston Celtics","1610612738","0042200307","2023-05-29","BOS vs. MIA","Game 7","Thu Apr 24 23:18:43","Miami Heat","2023-05-17",3,"Round 3: BOS vs. MIA, Game 7","#007A33","#98002E","2022-23"
"27","Brooklyn Nets","1610612751","0042200121","2023-04-15","BKN vs. PHI","Game 1","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-04-15",1,"Round 1: BKN vs. PHI, Game 1","#000000","#006BB6","2022-23"
"28","Brooklyn Nets","1610612751","0042200122","2023-04-17","BKN vs. PHI","Game 2","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-04-15",1,"Round 1: BKN vs. PHI, Game 2","#000000","#006BB6","2022-23"
"29","Brooklyn Nets","1610612751","0042200123","2023-04-20","BKN vs. PHI","Game 3","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-04-15",1,"Round 1: BKN vs. PHI, Game 3","#000000","#006BB6","2022-23"
"30","Brooklyn Nets","1610612751","0042200124","2023-04-22","BKN vs. PHI","Game 4","Thu Apr 24 23:18:43","Philadelphia 76ers","2023-04-15",1,"Round 1: BKN vs. PHI, Game 4","#000000","#006BB6","2022-23"
"31","Cleveland Cavaliers","1610612739","0042200131","2023-04-15","CLE vs. NYK","Game 1","Thu Apr 24 23:18:43","New York Knicks","2023-04-15",1,"Round 1: CLE vs. NYK, Game 1","#860038","#006BB6","2022-23"
"32","Cleveland Cavaliers","1610612739","0042200132","2023-04-18","CLE vs. NYK","Game 2","Thu Apr 24 23:18:43","New York Knicks","2023-04-15",1,"Round 1: CLE vs. NYK, Game 2","#860038","#006BB6","2022-23"
"33","Cleveland Cavaliers","1610612739","0042200133","2023-04-21","CLE vs. NYK","Game 3","Thu Apr 24 23:18:43","New York Knicks","2023-04-15",1,"Round 1: CLE vs. NYK, Game 3","#860038","#006BB6","2022-23"
"34","Cleveland Cavaliers","1610612739","0042200134","2023-04-23","CLE vs. NYK","Game 4","Thu Apr 24 23:18:43","New York Knicks","2023-04-15",1,"Round 1: CLE vs. NYK, Game 4","#860038","#006BB6","2022-23"
"35","Cleveland Cavaliers","1610612739","0042200135","2023-04-26","CLE vs. NYK","Game 5","Thu Apr 24 23:18:43","New York Knicks","2023-04-15",1,"Round 1: CLE vs. NYK, Game 5","#860038","#006BB6","2022-23"
"36","Denver Nuggets","1610612743","0042200141","2023-04-16","DEN vs. MIN","Game 1","Thu Apr 24 23:18:43","Minnesota Timberwolves","2023-04-16",1,"Round 1: DEN vs. MIN, Game 1","#0E2240","#236192","2022-23"
"37","Denver Nuggets","1610612743","0042200142","2023-04-19","DEN vs. MIN","Game 2","Thu Apr 24 23:18:43","Minnesota Timberwolves","2023-04-16",1,"Round 1: DEN vs. MIN, Game 2","#0E2240","#236192","2022-23"
"38","Denver Nuggets","1610612743","0042200143","2023-04-21","DEN vs. MIN","Game 3","Thu Apr 24 23:18:43","Minnesota Timberwolves","2023-04-16",1,"Round 1: DEN vs. MIN, Game 3","#0E2240","#236192","2022-23"
"39","Denver Nuggets","1610612743","0042200144","2023-04-23","DEN vs. MIN","Game 4","Thu Apr 24 23:18:43","Minnesota Timberwolves","2023-04-16",1,"Round 1: DEN vs. MIN, Game 4","#0E2240","#236192","2022-23"
"40","Denver Nuggets","1610612743","0042200145","2023-04-25","DEN vs. MIN","Game 5","Thu Apr 24 23:18:43","Minnesota Timberwolves","2023-04-16",1,"Round 1: DEN vs. MIN, Game 5","#0E2240","#236192","2022-23"
"41","Denver Nuggets","1610612743","0042200221","2023-04-29","DEN vs. PHX","Game 1","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-29",2,"Round 2: DEN vs. PHX, Game 1","#0E2240","#1D1160","2022-23"
"42","Denver Nuggets","1610612743","0042200222","2023-05-01","DEN vs. PHX","Game 2","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-29",2,"Round 2: DEN vs. PHX, Game 2","#0E2240","#1D1160","2022-23"
"43","Denver Nuggets","1610612743","0042200223","2023-05-05","DEN vs. PHX","Game 3","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-29",2,"Round 2: DEN vs. PHX, Game 3","#0E2240","#1D1160","2022-23"
"44","Denver Nuggets","1610612743","0042200224","2023-05-07","DEN vs. PHX","Game 4","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-29",2,"Round 2: DEN vs. PHX, Game 4","#0E2240","#1D1160","2022-23"
"45","Denver Nuggets","1610612743","0042200225","2023-05-09","DEN vs. PHX","Game 5","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-29",2,"Round 2: DEN vs. PHX, Game 5","#0E2240","#1D1160","2022-23"
"46","Denver Nuggets","1610612743","0042200226","2023-05-11","DEN vs. PHX","Game 6","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-29",2,"Round 2: DEN vs. PHX, Game 6","#0E2240","#1D1160","2022-23"
"47","Denver Nuggets","1610612743","0042200311","2023-05-16","DEN vs. LAL","Game 1","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-16",3,"Round 3: DEN vs. LAL, Game 1","#0E2240","#552583","2022-23"
"48","Denver Nuggets","1610612743","0042200312","2023-05-18","DEN vs. LAL","Game 2","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-16",3,"Round 3: DEN vs. LAL, Game 2","#0E2240","#552583","2022-23"
"49","Denver Nuggets","1610612743","0042200313","2023-05-20","DEN vs. LAL","Game 3","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-16",3,"Round 3: DEN vs. LAL, Game 3","#0E2240","#552583","2022-23"
"50","Denver Nuggets","1610612743","0042200314","2023-05-22","DEN vs. LAL","Game 4","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-16",3,"Round 3: DEN vs. LAL, Game 4","#0E2240","#552583","2022-23"
"51","Denver Nuggets","1610612743","0042200401","2023-06-01","DEN vs. MIA","Game 1","Thu Apr 24 23:18:43","Miami Heat","2023-06-01",4,"Round 4: DEN vs. MIA, Game 1","#0E2240","#98002E","2022-23"
"52","Denver Nuggets","1610612743","0042200402","2023-06-04","DEN vs. MIA","Game 2","Thu Apr 24 23:18:43","Miami Heat","2023-06-01",4,"Round 4: DEN vs. MIA, Game 2","#0E2240","#98002E","2022-23"
"53","Denver Nuggets","1610612743","0042200403","2023-06-07","DEN vs. MIA","Game 3","Thu Apr 24 23:18:43","Miami Heat","2023-06-01",4,"Round 4: DEN vs. MIA, Game 3","#0E2240","#98002E","2022-23"
"54","Denver Nuggets","1610612743","0042200404","2023-06-09","DEN vs. MIA","Game 4","Thu Apr 24 23:18:43","Miami Heat","2023-06-01",4,"Round 4: DEN vs. MIA, Game 4","#0E2240","#98002E","2022-23"
"55","Denver Nuggets","1610612743","0042200405","2023-06-12","DEN vs. MIA","Game 5","Thu Apr 24 23:18:43","Miami Heat","2023-06-01",4,"Round 4: DEN vs. MIA, Game 5","#0E2240","#98002E","2022-23"
"56","Golden State Warriors","1610612744","0042200161","2023-04-15","GSW vs. SAC","Game 1","Thu Apr 24 23:18:43","Sacramento Kings","2023-04-15",1,"Round 1: GSW vs. SAC, Game 1","#1D428A","#5A2D81","2022-23"
"57","Golden State Warriors","1610612744","0042200162","2023-04-17","GSW vs. SAC","Game 2","Thu Apr 24 23:18:43","Sacramento Kings","2023-04-15",1,"Round 1: GSW vs. SAC, Game 2","#1D428A","#5A2D81","2022-23"
"58","Golden State Warriors","1610612744","0042200163","2023-04-20","GSW vs. SAC","Game 3","Thu Apr 24 23:18:43","Sacramento Kings","2023-04-15",1,"Round 1: GSW vs. SAC, Game 3","#1D428A","#5A2D81","2022-23"
"59","Golden State Warriors","1610612744","0042200164","2023-04-23","GSW vs. SAC","Game 4","Thu Apr 24 23:18:43","Sacramento Kings","2023-04-15",1,"Round 1: GSW vs. SAC, Game 4","#1D428A","#5A2D81","2022-23"
"60","Golden State Warriors","1610612744","0042200165","2023-04-26","GSW vs. SAC","Game 5","Thu Apr 24 23:18:43","Sacramento Kings","2023-04-15",1,"Round 1: GSW vs. SAC, Game 5","#1D428A","#5A2D81","2022-23"
"61","Golden State Warriors","1610612744","0042200166","2023-04-28","GSW vs. SAC","Game 6","Thu Apr 24 23:18:43","Sacramento Kings","2023-04-15",1,"Round 1: GSW vs. SAC, Game 6","#1D428A","#5A2D81","2022-23"
"62","Golden State Warriors","1610612744","0042200167","2023-04-30","GSW vs. SAC","Game 7","Thu Apr 24 23:18:43","Sacramento Kings","2023-04-15",1,"Round 1: GSW vs. SAC, Game 7","#1D428A","#5A2D81","2022-23"
"63","Golden State Warriors","1610612744","0042200231","2023-05-02","GSW vs. LAL","Game 1","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-02",2,"Round 2: GSW vs. LAL, Game 1","#1D428A","#552583","2022-23"
"64","Golden State Warriors","1610612744","0042200232","2023-05-04","GSW vs. LAL","Game 2","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-02",2,"Round 2: GSW vs. LAL, Game 2","#1D428A","#552583","2022-23"
"65","Golden State Warriors","1610612744","0042200233","2023-05-06","GSW vs. LAL","Game 3","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-02",2,"Round 2: GSW vs. LAL, Game 3","#1D428A","#552583","2022-23"
"66","Golden State Warriors","1610612744","0042200234","2023-05-08","GSW vs. LAL","Game 4","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-02",2,"Round 2: GSW vs. LAL, Game 4","#1D428A","#552583","2022-23"
"67","Golden State Warriors","1610612744","0042200235","2023-05-10","GSW vs. LAL","Game 5","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-02",2,"Round 2: GSW vs. LAL, Game 5","#1D428A","#552583","2022-23"
"68","Golden State Warriors","1610612744","0042200236","2023-05-12","GSW vs. LAL","Game 6","Thu Apr 24 23:18:43","Los Angeles Lakers","2023-05-02",2,"Round 2: GSW vs. LAL, Game 6","#1D428A","#552583","2022-23"
"69","LA Clippers","1610612746","0042200171","2023-04-16","LAC vs. PHX","Game 1","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-16",1,"Round 1: LAC vs. PHX, Game 1","#5D76A9","#1D1160","2022-23"
"70","LA Clippers","1610612746","0042200172","2023-04-18","LAC vs. PHX","Game 2","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-16",1,"Round 1: LAC vs. PHX, Game 2","#5D76A9","#1D1160","2022-23"
"71","LA Clippers","1610612746","0042200173","2023-04-20","LAC vs. PHX","Game 3","Thu Apr 24 23:18:43","Phoenix Suns","2023-04-16",1,"Round 1: LAC vs. PHX, Game 3","#5D76A9","#1D1160","2022-23"
